Isaiah,58,1,你大聲呼喊，不要停止，提高你的喉嚨，有如號筒，向我的百姓宣佈他們的過犯，向雅各伯家指明他們的罪孽。
Isaiah,58,2,他們固然天天尋找我，喜歡認識我的道路，好似一個行義而沒有背棄天主法令的民族，向我要求正義的措施，祈望天主與之接近：
Isaiah,58,3,「為什麼我們守齋而你看不見，我們克苦而你不理會呢？」看哪！你們在守齋日仍然苦心經營，勒索你們所有的工人。
Isaiah,58,4,看哪！你們一面守齋，一面爭吵，打架，以惡拳打人；你們不必再如今天一樣守齋了，免得你們的嘈雜在高處可以聽到。
Isaiah,58,5,難道這就是我所中意的齋戒嗎？難道這就是人們克己的日子嗎？難道低頭如同蘆葦，以苦衣和灰塵舖床，你就稱為齋戒，稱為上主悅納的日子嗎？
Isaiah,58,6,我所中意的齋戒，豈不是要人解除不義的鎖鏈，廢除軛上的繩索，使受壓迫者獲得自由，折斷所有的軛嗎？
Isaiah,58,7,豈不是要人將食糧分給飢餓的人，將無地容身的貧窮人領到自己的屋裡，見到赤身露體的人給他衣穿，不要避開你的骨肉嗎？
Isaiah,58,8,若這樣，你的光明將要射出，有如黎明，你的傷口將會迅速地復原；你的救援要走在你前面，上主的光榮要作你的後盾。
Isaiah,58,9,那時，你如呼喊，上主必要俯允；你若哀求，他必答說：「我在這裡！」你若由你中間消除欺壓，指手畫腳的行為和虛偽的言談，
Isaiah,58,10,你若把你的食糧施捨給飢餓的人，滿足貧窮者的心靈；那麼，你的光明要在黑暗中升起，你的幽暗將如中午。
Isaiah,58,11,上主必要時常引領你，在乾枯之地，使你心滿意足，並使你的骨頭堅強有力；你將成為一座灌溉的樂園，一個總不涸竭的水泉。
Isaiah,58,12,你的後裔將重建往日的廢址，你要豎起那久遠的基礎，人要稱你為：「缺口的修補者」，「廢墟的興建者」，為叫人居住。
Isaiah,58,13,假使你在安息日限止你的腳步，在我的聖日停止你的營業，稱安息日為喜樂，為上主可敬的聖日；假使你尊崇聖日，而不去旅行，不苦心經營或談論生意，
Isaiah,58,14,那時你將喜樂於上主。我要使你駕臨地之高處，使你享受你祖先雅各伯的產業：這是上主親口說的。
